%Y%m%d%H%M;USDCHF
199604052230;1.1968
199604052300;1.1969
199604052330;1.1969
199604080000;1.197
199604080030;1.1948
199604080100;1.1935
199604080130;1.1944
199604080200;1.1937
199604080230;1.1948
199604080300;1.1945
199604080330;1.1946
199604080400;1.1935
199604080430;1.1927
199604080500;1.1925
199604080530;1.193
199604080600;1.1935
199604080630;1.1935
199604080700;1.1932
199604080730;1.1925
199604080800;1.1935
199604080830;1.1917
199604080900;1.1925
199604080930;1.1928
199604081000;1.1931
199604081030;1.192
199604081100;1.1917
199604081130;1.192
199604081200;1.1915
199604081230;1.1893
199604081300;1.1902
199604081330;1.1909
199604081400;1.1912
199604081430;1.1918
199604081500;1.192
199604081530;1.192
199604081600;1.1918
199604081630;1.1922
199604081700;1.1922
199604081730;1.1915
199604081800;1.1918
199604081830;1.1928
199604081900;1.1955
199604081930;1.196
199604082000;1.1952
199604082030;1.1952
199604082100;1.1955
199604082130;1.1953
199604082200;1.1952
199604082230;1.1953
199604082300;1.1957
199604082330;1.195
199604090000;1.1955
199604090030;1.1935
199604090100;1.1944
199604090130;1.1946
199604090200;1.1946
199604090230;1.195
199604090300;1.195
199604090330;1.1949
199604090400;1.1949
199604090430;1.1953
199604090500;1.1962
199604090530;1.196
199604090600;1.195
199604090630;1.1951
199604090700;1.1959
199604090730;1.1947
199604090800;1.1956
199604090830;1.1957
199604090900;1.196
199604090930;1.1968
199604091000;1.1982
199604091030;1.199
199604091100;1.1988
199604091130;1.1993
199604091200;1.2023
199604091230;1.2062
199604091300;1.2053
199604091330;1.207
199604091400;1.2061
199604091430;1.2057
199604091500;1.2063
199604091530;1.206
199604091600;1.2061
199604091630;1.2067
199604091700;1.2088
199604091730;1.2095
199604091800;1.2098
199604091830;1.2102
199604091900;1.211
199604091930;1.2125
199604092000;1.212
199604092030;1.2117
199604092100;1.2111
199604092130;1.212
199604092200;1.2115
199604092230;1.2123
199604092300;1.2118
199604092330;1.211
199604100000;1.2104
199604100030;1.2111
199604100100;1.2106
199604100130;1.2108
199604100200;1.2107
199604100230;1.2121
199604100300;1.2118
199604100330;1.213
199604100400;1.213
199604100430;1.2141
199604100500;1.2131
199604100530;1.2127
199604100600;1.2137
199604100630;1.2152
199604100700;1.2151
199604100730;1.2142
199604100800;1.2137
199604100830;1.2128
199604100900;1.216
199604100930;1.2161
199604101000;1.2151
199604101030;1.2133
199604101100;1.2133
199604101130;1.2135
199604101200;1.2142
199604101230;1.214
199604101300;1.2124
199604101330;1.2132
199604101400;1.2132
199604101430;1.2144
199604101500;1.2155
199604101530;1.2175
199604101600;1.2177
199604101630;1.2194
199604101700;1.22
199604101730;1.2182
199604101800;1.2165
199604101830;1.2153
199604101900;1.2148
199604101930;1.216
199604102000;1.2145
199604102030;1.2148
199604102100;1.2154
199604102130;1.2157
199604102200;1.2158
199604102230;1.2156
199604102300;1.2157
199604102330;1.2158
199604110000;1.2151
199604110030;1.215
199604110100;1.216
199604110130;1.2159
199604110200;1.2165
199604110230;1.2163
199604110300;1.2169
199604110330;1.2166
199604110400;1.2171
199604110430;1.218
199604110500;1.2166
199604110530;1.216
199604110600;1.2165
199604110630;1.2175
199604110700;1.2195
199604110730;1.218
199604110800;1.2189
199604110830;1.2187
199604110900;1.2187
199604110930;1.2199
199604111000;1.2205
199604111030;1.22
199604111100;1.2207
199604111130;1.2186
199604111200;1.2183
199604111230;1.2195
199604111300;1.2185
199604111330;1.2177
199604111400;1.2167
199604111430;1.2182
199604111500;1.2176
199604111530;1.2205
199604111600;1.222
199604111630;1.22
199604111700;1.2201
199604111730;1.2205
199604111800;1.2187
199604111830;1.2195
199604111900;1.2199
199604111930;1.2207
199604112000;1.2209
199604112030;1.2218
199604112100;1.2212
199604112130;1.2216
199604112200;1.2208
199604112230;1.2217
199604112300;1.2217
199604112330;1.2217
199604120000;1.2215
199604120030;1.2217
199604120100;1.223
199604120130;1.2205
199604120200;1.2194
199604120230;1.2193
199604120300;1.2192
199604120330;1.2189
199604120400;1.2192
199604120430;1.2195
199604120500;1.2198
199604120530;1.2197
199604120600;1.2208
199604120630;1.22
199604120700;1.221
199604120730;1.2188
199604120800;1.22
199604120830;1.2201
199604120900;1.2203
199604120930;1.219
199604121000;1.2183
199604121030;1.219
199604121100;1.2209
199604121130;1.2215
199604121200;1.221
199604121230;1.2218
199604121300;1.2221
199604121330;1.2213
199604121400;1.2247
199604121430;1.224
199604121500;1.224
199604121530;1.2252
199604121600;1.2261
199604121630;1.2265
199604121700;1.2268
199604121730;1.2255
199604121800;1.2262
199604121830;1.2259
199604121900;1.2271
199604121930;1.2268
199604122000;1.2268
199604122030;1.2276
199604122100;1.2285
199604122130;1.2276
199604122200;1.2278
199604122230;1.228
199604122300;1.2282
199604122330;1.2284
199604150000;1.2286
199604150030;1.2288
199604150100;1.2286
199604150130;1.2284
199604150200;1.2282
199604150230;1.2289
199604150300;1.2295
199604150330;1.2302
199604150400;1.2308
199604150430;1.2315
199604150500;1.232
199604150530;1.2321
199604150600;1.2323
199604150630;1.2309
199604150700;1.2317
199604150730;1.2317
199604150800;1.2317
199604150830;1.2316
199604150900;1.2315
199604150930;1.2322
199604151000;1.2324
199604151030;1.2321
199604151100;1.2318
199604151130;1.2318
199604151200;1.2315
199604151230;1.2311
199604151300;1.2302
199604151330;1.2299
199604151400;1.2299
199604151430;1.2292
199604151500;1.2304
199604151530;1.2312
199604151600;1.2304
199604151630;1.2322
199604151700;1.2329
199604151730;1.2344
199604151800;1.234
199604151830;1.2341
199604151900;1.2343
199604151930;1.2346
199604152000;1.2351
199604152030;1.235
199604152100;1.2346
199604152130;1.2335
199604152200;1.2348
199604152230;1.2335
199604152300;1.2334
199604152330;1.233
199604160000;1.2313
199604160030;1.2309
199604160100;1.2308
199604160130;1.2311
199604160200;1.2312
199604160230;1.231
199604160300;1.2315
199604160330;1.2309
199604160400;1.23
199604160430;1.2304
199604160500;1.2303
199604160530;1.2304
199604160600;1.231
199604160630;1.229
199604160700;1.2283
199604160730;1.2287
199604160800;1.2287
199604160830;1.229
199604160900;1.2263
199604160930;1.227
199604161000;1.2275
199604161030;1.2283
199604161100;1.2285
199604161130;1.2287
199604161200;1.2275
199604161230;1.228
199604161300;1.2277
199604161330;1.2279
199604161400;1.2281
199604161430;1.2295
199604161500;1.2298
199604161530;1.2302
199604161600;1.2308
199604161630;1.2313
199604161700;1.2308
199604161730;1.2303
199604161800;1.23
199604161830;1.2287
199604161900;1.2292
199604161930;1.2292
199604162000;1.2291
199604162030;1.2293
199604162100;1.2286
199604162130;1.2287
199604162200;1.2277
199604162230;1.2277
199604162300;1.2276
199604162330;1.2285
199604170000;1.2268
199604170030;1.2292
199604170100;1.2281
199604170130;1.2289
199604170200;1.2286
199604170230;1.2281
199604170300;1.2287
199604170330;1.2298
199604170400;1.229
199604170430;1.2295
199604170500;1.2295
199604170530;1.2303
199604170600;1.2306
199604170630;1.231
199604170700;1.23
199604170730;1.2296
199604170800;1.2285
199604170830;1.2295
199604170900;1.2285
199604170930;1.2286
199604171000;1.2291
199604171030;1.2285
199604171100;1.229
199604171130;1.2284
199604171200;1.2273
199604171230;1.2274
199604171300;1.2263
199604171330;1.2279
199604171400;1.2277
199604171430;1.2254
199604171500;1.2265
199604171530;1.2266
199604171600;1.2256
199604171630;1.2266
199604171700;1.2273
199604171730;1.2263
199604171800;1.2264
199604171830;1.2268
199604171900;1.2274
199604171930;1.2273
199604172000;1.2265
199604172030;1.2272
199604172100;1.2278
199604172130;1.227
199604172200;1.2267
199604172230;1.2265
199604172300;1.2252
199604172330;1.2247
199604180000;1.2245
199604180030;1.2252
199604180100;1.2257
199604180130;1.2259
199604180200;1.2257
199604180230;1.2257
199604180300;1.2257
199604180330;1.2257
199604180400;1.2267
199604180430;1.2267
199604180500;1.2253
199604180530;1.2254
199604180600;1.2244
199604180630;1.2246
199604180700;1.2237
199604180730;1.2241
199604180800;1.2245
199604180830;1.2252
199604180900;1.2253
199604180930;1.2252
199604181000;1.2257
199604181030;1.2284
199604181100;1.2285
199604181130;1.2313
199604181200;1.2296
199604181230;1.2293
199604181300;1.2275
199604181330;1.2291
199604181400;1.2316
199604181430;1.2283
199604181500;1.2275
199604181530;1.2258
199604181600;1.2235
199604181630;1.2183
199604181700;1.2157
199604181730;1.2147
199604181800;1.2157
199604181830;1.217
199604181900;1.2175
199604181930;1.2187
199604182000;1.2186
199604182030;1.2187
199604182100;1.2194
199604182130;1.2187
199604182200;1.2188
199604182230;1.2188
199604182300;1.2187
199604182330;1.2189
199604190000;1.219
199604190030;1.2173
199604190100;1.2172
199604190130;1.2182
199604190200;1.2185
199604190230;1.2188
199604190300;1.2182
199604190330;1.2184
199604190400;1.219
199604190430;1.2183
199604190500;1.2184
199604190530;1.2175
199604190600;1.2174
199604190630;1.218
199604190700;1.2186
199604190730;1.2193
199604190800;1.2185
199604190830;1.2176
199604190900;1.218
199604190930;1.2185
199604191000;1.2192
199604191030;1.2177
199604191100;1.2168
199604191130;1.2157
199604191200;1.2157
199604191230;1.2177
199604191300;1.2177
199604191330;1.2185
199604191400;1.2204
199604191430;1.2213
199604191500;1.2229
199604191530;1.2245
199604191600;1.223
199604191630;1.2262
199604191700;1.2253
199604191730;1.2259
199604191800;1.2248
199604191830;1.2253
199604191900;1.2278
199604191930;1.2273
199604192000;1.2278
199604192030;1.2287
199604192100;1.228
199604192130;1.2286
199604192200;1.2292
199604192230;1.2297
199604192300;1.2303
199604192330;1.2309
199604220000;1.2315
199604220030;1.2317
199604220100;1.2313
199604220130;1.2303
199604220200;1.2305
199604220230;1.2302
199604220300;1.2302
199604220330;1.2315
199604220400;1.2311
199604220430;1.2305
199604220500;1.2303
199604220530;1.2318
199604220600;1.2305
199604220630;1.2307
199604220700;1.2305
199604220730;1.23
199604220800;1.2287
199604220830;1.2293
199604220900;1.229
199604220930;1.2293
199604221000;1.2305
199604221030;1.2287
199604221100;1.2285
199604221130;1.2276
199604221200;1.2281
199604221230;1.2275
199604221300;1.2266
199604221330;1.2264
199604221400;1.2292
199604221430;1.2285
199604221500;1.2264
199604221530;1.2264
199604221600;1.2263
199604221630;1.2277
199604221700;1.2275
199604221730;1.2287
199604221800;1.2282
199604221830;1.227
199604221900;1.2279
199604221930;1.2282
199604222000;1.2294
199604222030;1.2293
199604222100;1.2286
199604222130;1.2288
199604222200;1.2288
199604222230;1.2289
199604222300;1.2295
199604222330;1.2287
199604230000;1.2284
199604230030;1.2284
199604230100;1.2283
199604230130;1.229
199604230200;1.2287
199604230230;1.2289
199604230300;1.2287
199604230330;1.229
199604230400;1.2291
199604230430;1.2289
199604230500;1.2284
199604230530;1.2287
199604230600;1.2287
199604230630;1.2283
199604230700;1.2279
199604230730;1.2276
199604230800;1.227
199604230830;1.2284
199604230900;1.2287
199604230930;1.2298
199604231000;1.2293
199604231030;1.2297
199604231100;1.2314
199604231130;1.2305
199604231200;1.231
199604231230;1.2297
199604231300;1.2277
199604231330;1.2283
199604231400;1.2265
199604231430;1.2263
199604231500;1.2281
199604231530;1.2288
199604231600;1.2295
199604231630;1.2295
199604231700;1.2285
199604231730;1.2295
199604231800;1.2302
199604231830;1.2309
199604231900;1.2326
199604231930;1.2327
199604232000;1.2327
199604232030;1.2337
199604232100;1.2341
199604232130;1.2337
199604232200;1.2343
199604232230;1.2339
199604232300;1.2338
199604232330;1.2344
199604240000;1.2345
199604240030;1.2336
199604240100;1.2342
199604240130;1.2341
199604240200;1.2338
199604240230;1.2345
199604240300;1.2343
199604240330;1.2338
199604240400;1.2342
199604240430;1.234
199604240500;1.234
199604240530;1.234
199604240600;1.2337
199604240630;1.2326
199604240700;1.2327
199604240730;1.233
199604240800;1.2324
199604240830;1.2328
199604240900;1.2313
199604240930;1.232
199604241000;1.232
199604241030;1.2327
199604241100;1.2335
199604241130;1.2343
199604241200;1.2342
199604241230;1.2334
199604241300;1.2333
199604241330;1.2325
199604241400;1.2327
199604241430;1.2329
199604241500;1.2331
199604241530;1.2328
199604241600;1.2327
199604241630;1.2322
199604241700;1.2329
199604241730;1.2335
199604241800;1.2323
199604241830;1.2313
199604241900;1.2316
199604241930;1.2311
199604242000;1.2305
199604242030;1.2308
199604242100;1.2307
199604242130;1.23
199604242200;1.2298
199604242230;1.2301
199604242300;1.2298
199604242330;1.2298
199604250000;1.2315
199604250030;1.2318
199604250100;1.2336
199604250130;1.2337
199604250200;1.2331
199604250230;1.2343
199604250300;1.2342
199604250330;1.2326
199604250400;1.2326
199604250430;1.2335
199604250500;1.2331
199604250530;1.2332
199604250600;1.2335
199604250630;1.235
199604250700;1.2343
199604250730;1.2355
199604250800;1.2346
199604250830;1.2347
199604250900;1.2351
199604250930;1.2349
199604251000;1.2345
199604251030;1.235
199604251100;1.2367
199604251130;1.2367
199604251200;1.2365
199604251230;1.2355
199604251300;1.2353
199604251330;1.2363
199604251400;1.2377
199604251430;1.2367
199604251500;1.2362
199604251530;1.2361
199604251600;1.2359
199604251630;1.2358
199604251700;1.2385
199604251730;1.2378
199604251800;1.2385
199604251830;1.237
199604251900;1.2376
199604251930;1.2394
199604252000;1.2375
199604252030;1.2378
199604252100;1.2369
199604252130;1.2375
199604252200;1.2372
199604252230;1.2373
199604252300;1.2374
199604252330;1.237
199604260000;1.2363
199604260030;1.2364
199604260100;1.2375
199604260130;1.2373
199604260200;1.2374
199604260230;1.2369
199604260300;1.2366
199604260330;1.2367
199604260400;1.2372
199604260430;1.2373
199604260500;1.2379
199604260530;1.2372
199604260600;1.2379
199604260630;1.2365
199604260700;1.2377
199604260730;1.2375
199604260800;1.2367
199604260830;1.2363
199604260900;1.2363
199604260930;1.2358
199604261000;1.2364
199604261030;1.2367
199604261100;1.2371
199604261130;1.2372
199604261200;1.2375
199604261230;1.2372
199604261300;1.2362
199604261330;1.2375
199604261400;1.2389
199604261430;1.2376
199604261500;1.2357
199604261530;1.2356
199604261600;1.2362
199604261630;1.2345
199604261700;1.2333
199604261730;1.2347
199604261800;1.2349
199604261830;1.235
199604261900;1.2346
199604261930;1.2348
199604262000;1.2352
199604262030;1.2354
199604262100;1.235
199604262130;1.2341
199604262200;1.234
199604262230;1.2339
199604262300;1.2339
199604262330;1.2338
199604290000;1.2337
199604290030;1.234
199604290100;1.234
199604290130;1.234
199604290200;1.2338
199604290230;1.2332
199604290300;1.2336
199604290330;1.2342
199604290400;1.2331
199604290430;1.2332
199604290500;1.2337
199604290530;1.2337
199604290600;1.2333
199604290630;1.2334
199604290700;1.2325
199604290730;1.2332
199604290800;1.2328
199604290830;1.2311
199604290900;1.2311
199604290930;1.2313
199604291000;1.2323
199604291030;1.2297
199604291100;1.2301
199604291130;1.2278
199604291200;1.229
199604291230;1.2288
199604291300;1.2287
199604291330;1.2287
199604291400;1.2293
199604291430;1.2278
199604291500;1.2319
199604291530;1.2319
199604291600;1.2331
199604291630;1.234
199604291700;1.234
199604291730;1.2342
199604291800;1.2348
199604291830;1.2364
199604291900;1.2382
199604291930;1.2382
199604292000;1.2378
199604292030;1.2388
199604292100;1.24
199604292130;1.2389
199604292200;1.239
199604292230;1.2387
199604292300;1.2382
199604292330;1.2382
199604300000;1.2382
199604300030;1.2382
199604300100;1.2375
199604300130;1.2374
199604300200;1.2367
199604300230;1.2371
199604300300;1.2377
199604300330;1.237
199604300400;1.237
199604300430;1.2367
199604300500;1.2366
199604300530;1.2362
199604300600;1.2355
199604300630;1.235
199604300700;1.2346
199604300730;1.2359
199604300800;1.2374
199604300830;1.2373
199604300900;1.2372
199604300930;1.2371
199604301000;1.2404
199604301030;1.2379
199604301100;1.2386
199604301130;1.2387
199604301200;1.2394
199604301230;1.2384
199604301300;1.2379
199604301330;1.2395
199604301400;1.2441
199604301430;1.2437
199604301500;1.2447
199604301530;1.2441
199604301600;1.2415
199604301630;1.2436
199604301700;1.2441
199604301730;1.2449
199604301800;1.2446
199604301830;1.2432
199604301900;1.2446
199604301930;1.2437
199604302000;1.2434
199604302030;1.2442
199604302100;1.2444
199604302130;1.2447
199604302200;1.2446
199604302230;1.2446
199604302300;1.2452
199604302330;1.2454
199605010000;1.2455
199605010030;1.2447
199605010100;1.2449
199605010130;1.2452
199605010200;1.246
199605010230;1.2458
199605010300;1.2464
199605010330;1.247
199605010400;1.247
199605010430;1.2467
199605010500;1.2467
199605010530;1.2457
199605010600;1.2445
199605010630;1.2455
199605010700;1.2445
199605010730;1.2457
199605010800;1.2479
199605010830;1.2489
199605010900;1.2477
199605010930;1.2484
199605011000;1.2487
199605011030;1.248
199605011100;1.2479
199605011130;1.2484
199605011200;1.2513
199605011230;1.2505
199605011300;1.2506
199605011330;1.2497
199605011400;1.2481
199605011430;1.247
199605011500;1.2483
199605011530;1.2487
199605011600;1.2496
199605011630;1.2497
199605011700;1.249
199605011730;1.2482
199605011800;1.2497
199605011830;1.251
199605011900;1.2514
199605011930;1.2506
199605012000;1.2506
199605012030;1.2506
199605012100;1.2507
199605012130;1.251
199605012200;1.2501
199605012230;1.2507
199605012300;1.2507
199605012330;1.2502
199605020000;1.2504
199605020030;1.2502
199605020100;1.2516
199605020130;1.2507
199605020200;1.2516
199605020230;1.2513
199605020300;1.2515
199605020330;1.2515
199605020400;1.2512
199605020430;1.2511
199605020500;1.2506
199605020530;1.2502
199605020600;1.249
199605020630;1.2479
199605020700;1.2475
199605020730;1.2482
199605020800;1.2477
199605020830;1.2472
199605020900;1.2475
199605020930;1.2464
199605021000;1.2466
199605021030;1.2472
199605021100;1.2487
199605021130;1.2523
199605021200;1.256
199605021230;1.2542
199605021300;1.2545
199605021330;1.2524
199605021400;1.2523
199605021430;1.2515
199605021500;1.2482
199605021530;1.2465
199605021600;1.2451
199605021630;1.2473
199605021700;1.2469
199605021730;1.2465
199605021800;1.246
199605021830;1.2462
199605021900;1.2468
199605021930;1.2457
199605022000;1.2452
199605022030;1.2466
199605022100;1.2457
199605022130;1.246
199605022200;1.246
199605022230;1.2466
199605022300;1.2457
199605022330;1.246
199605030000;1.2464
199605030030;1.245
199605030100;1.2452
199605030130;1.2453
199605030200;1.2454
199605030230;1.2437
199605030300;1.2434
199605030330;1.2434
199605030400;1.2433
199605030430;1.2435
199605030500;1.2443
199605030530;1.2435
199605030600;1.2439
199605030630;1.2428
199605030700;1.2419
199605030730;1.2417
199605030800;1.2423
199605030830;1.2441
199605030900;1.2448
199605030930;1.245
199605031000;1.2434
199605031030;1.2443
199605031100;1.244
199605031130;1.2411
199605031200;1.2412
199605031230;1.2443
199605031300;1.2427
199605031330;1.2435
199605031400;1.2405
199605031430;1.239
199605031500;1.243
199605031530;1.2435
199605031600;1.2423
199605031630;1.242
199605031700;1.2426
199605031730;1.2413
199605031800;1.2407
199605031830;1.2404
199605031900;1.2418
199605031930;1.2418
199605032000;1.2418
199605032030;1.2418
199605032100;1.242
199605032130;1.2421
199605032200;1.242
199605032230;1.2419
199605032300;1.2418
199605032330;1.2417
199605060000;1.2416
199605060030;1.2402
199605060100;1.2404
199605060130;1.2405
199605060200;1.24
199605060230;1.2401
199605060300;1.2402
199605060330;1.2402
199605060400;1.2403
199605060430;1.2405
199605060500;1.2405
199605060530;1.2412
199605060600;1.241
199605060630;1.241
199605060700;1.2415
199605060730;1.2421
199605060800;1.2405
199605060830;1.2406
199605060900;1.241
199605060930;1.241
199605061000;1.2411
199605061030;1.2425
199605061100;1.2429
199605061130;1.2435
199605061200;1.2435
199605061230;1.2427
199605061300;1.2437
199605061330;1.2447
199605061400;1.2448
199605061430;1.2448
199605061500;1.2453
199605061530;1.2451
199605061600;1.2447
199605061630;1.2449
199605061700;1.2442
199605061730;1.2438
199605061800;1.2442
199605061830;1.243
199605061900;1.2437
199605061930;1.2438
199605062000;1.2445
199605062030;1.2445
199605062100;1.2443
199605062130;1.2443
199605062200;1.2437
199605062230;1.2428
199605062300;1.243
199605062330;1.2436
199605070000;1.2427
199605070030;1.243
199605070100;1.2412
199605070130;1.2424
199605070200;1.2425
199605070230;1.2422
199605070300;1.2422
199605070330;1.2423
199605070400;1.2425
199605070430;1.242
199605070500;1.2417
199605070530;1.2425
199605070600;1.2419
199605070630;1.2427
199605070700;1.2422
199605070730;1.2427
199605070800;1.2422
199605070830;1.2423
199605070900;1.2431
199605070930;1.2435
199605071000;1.2429
199605071030;1.2438
199605071100;1.243
199605071130;1.2433
199605071200;1.2434
199605071230;1.2432
199605071300;1.2418
199605071330;1.2423
199605071400;1.2424
199605071430;1.242
199605071500;1.2403
199605071530;1.2395
199605071600;1.2392
199605071630;1.2403
199605071700;1.2407
199605071730;1.2418
199605071800;1.2414
199605071830;1.2424
199605071900;1.2433
199605071930;1.2443
199605072000;1.2445
199605072030;1.2449
199605072100;1.2443
199605072130;1.2448
199605072200;1.2447
199605072230;1.2448
199605072300;1.2447
199605072330;1.2454
199605080000;1.2451
199605080030;1.2447
199605080100;1.2444
199605080130;1.2447
199605080200;1.2448
199605080230;1.2447
199605080300;1.2442
199605080330;1.2453
199605080400;1.2452
199605080430;1.2455
199605080500;1.2455
199605080530;1.2456
199605080600;1.2452
199605080630;1.2447
199605080700;1.2454
199605080730;1.2449
199605080800;1.2447
199605080830;1.2446
199605080900;1.2445
199605080930;1.2445
199605081000;1.2433
199605081030;1.2421
199605081100;1.2412
199605081130;1.242
199605081200;1.2405
199605081230;1.2412
199605081300;1.238
199605081330;1.2345
199605081400;1.2367
199605081430;1.234
199605081500;1.2335
199605081530;1.2335
199605081600;1.2332
199605081630;1.2342
199605081700;1.2312
199605081730;1.235
199605081800;1.2333
199605081830;1.2336
199605081900;1.235
199605081930;1.2342
199605082000;1.2341
199605082030;1.234
199605082100;1.2347
199605082130;1.2342
199605082200;1.2337
199605082230;1.2336
199605082300;1.2337
199605082330;1.2336
199605090000;1.2325
199605090030;1.2326
199605090100;1.2333
199605090130;1.2332
199605090200;1.2332
199605090230;1.2328
199605090300;1.2325
199605090330;1.233
199605090400;1.2329
199605090430;1.2326
199605090500;1.2325
199605090530;1.2321
199605090600;1.233
199605090630;1.233
199605090700;1.2325
199605090730;1.2333
199605090800;1.2322
199605090830;1.2327
199605090900;1.2326
199605090930;1.2321
199605091000;1.2339
199605091030;1.2343
199605091100;1.2348
199605091130;1.2355
199605091200;1.2342
199605091230;1.235
199605091300;1.2367
199605091330;1.2362
199605091400;1.2372
199605091430;1.2359
199605091500;1.2368
199605091530;1.2355
199605091600;1.2359
199605091630;1.2362
199605091700;1.2363
199605091730;1.239
199605091800;1.2381
199605091830;1.24
199605091900;1.2396
199605091930;1.2395
199605092000;1.2394
199605092030;1.2395
199605092100;1.2397
199605092130;1.2396
199605092200;1.2396
199605092230;1.2387
199605092300;1.2387
199605092330;1.2388
199605100000;1.24
199605100030;1.2392
199605100100;1.2392
199605100130;1.2398
199605100200;1.2399
199605100230;1.2396
199605100300;1.2391
199605100330;1.2389
199605100400;1.2398
199605100430;1.239
199605100500;1.2405
199605100530;1.24
199605100600;1.2392
199605100630;1.2388
199605100700;1.2389
199605100730;1.2379
199605100800;1.2383
199605100830;1.2383
199605100900;1.2374
199605100930;1.2371
199605101000;1.2367
